OBJECTID,NOMBRE_COM,Tipo,POINT_X,POINT_Y,Niveles,X,Y,aedes_mean,land_cov1_mean,land_cov2_mean,land_cov3_mean,tempmean_mean,tempvar_mean,pop_mean
"1",Palma Real,Centro poblado rural,524450.9997999999905005097389221191406,8616996.0000000000000000000000000000000,"3",524450.9997999999905005097389221191406,8616996.0000000000000000000000000000000,25.9074896965127,38.8496690034241,352.504957584571,69.8983627479533,26.0714698951701,8.76691531884702,0.0976491874891023
"2",Isla Roling,Centro poblado rural,494777.9998999999952502548694610595703,8612708.0000000000000000000000000000000,"3",494777.9998999999952502548694610595703,8612708.0000000000000000000000000000000,26.6506277173758,26.629927833875,300.138494888941,49.0953987489144,26.3382444481055,9.69468007485072,0.0716569800462042
"3",Tres Islas,Centro poblado rural,459665.9998999999952502548694610595703,8612834.0000000000000000000000000000000,"3",459665.9998999999952502548694610595703,8612834.0000000000000000000000000000000,25.8724852878182,39.253669181007,364.996681073938,66.8286686292205,25.8991531591191,9.40991025680662,0.137062234070265
"4",Las Palmeras,Centro poblado rural,350289.0000000000000000000000000000000,8549602.0000000000000000000000000000000,"3",350289.0000000000000000000000000000000,8549602.0000000000000000000000000000000,7.42635867608155,38.7716643548137,442.326267502071,56.3348066419831,25.813430806105,9.71247195947857,0.394022620677948
"5",Villa Santiago,Centro poblado rural,354162.0000000000000000000000000000000,8561674.0000000000000000000000000000000,"3",354162.0000000000000000000000000000000,8561674.0000000000000000000000000000000,9.96119321203981,33.9252069732906,425.258230439031,68.0953274771805,25.6426682796778,10.618421901583,0.0774650520614379
"6",Santa Rita Baja,Centro poblado rural,370332.3540999999968335032463073730469,8572129.0140000004321336746215820312500,"3",370332.3540999999968335032463073730469,8572129.0140000004321336746215820312500,15.6580149718514,42.3620236580479,479.5400991314,71.9984596473875,27.3257535466418,6.7713370373507,0.187545406220728
"7",Sarayacu,Centro poblado rural,387259.0000000000000000000000000000000,8585232.0000000000000000000000000000000,"3",387259.0000000000000000000000000000000,8585232.0000000000000000000000000000000,9.88745574271773,32.3305826463926,316.897712848432,56.4337556179721,25.9952770273415,9.45108142188482,0.0558703510182976
"8",Fitzcarrald,Centro poblado rural,462147.9998999999952502548694610595703,8599362.0000000000000000000000000000000,"3",462147.9998999999952502548694610595703,8599362.0000000000000000000000000000000,59.3215348638771,19.4125360222165,102.860377500428,21.6274573997961,29.80648148972,12.3100091033372,0.287360205144812
"9",Virgen De La Candelar,Centro poblado rural,387384.3802000000141561031341552734375,8576336.4948999993503093719482421875000,"3",387384.3802000000141561031341552734375,8576336.4948999993503093719482421875000,21.2523570011059,37.0750617484252,446.258971532186,43.0908121565978,27.49706569314,8.05005091677109,0.234740955290702
"10",San Bernardo,Centro poblado rural,456640.9998999999952502548694610595703,8597418.0000000000000000000000000000000,"3",456640.9998999999952502548694610595703,8597418.0000000000000000000000000000000,46.3031952286773,23.8664841312217,126.789993064699,31.9091655207813,28.8331545223347,10.895433725342,0.294192572046483
"11",Santo Domingo,Centro poblado rural,438411.1193000000203028321266174316406,8589163.4155000001192092895507812500000,"3",438411.1193000000203028321266174316406,8589163.4155000001192092895507812500000,35.8450388946131,34.6679779898208,274.974849570081,41.6040114651884,27.8351366098449,10.5623347501327,0.284503108804142
"12",Florida Alta,Centro poblado rural,433256.1971999999950639903545379638672,8586279.0050000008195638656616210937500,"3",433256.1971999999950639903545379638672,8586279.0050000008195638656616210937500,34.3971127482392,30.6976722425395,206.029742681257,44.3413980982234,28.013169623302,10.411129000319,0.121571893730977
"13",Virgenes Del Sol,Centro poblado rural,427989.0000000000000000000000000000000,8582260.0000000000000000000000000000000,"3",427989.0000000000000000000000000000000,8582260.0000000000000000000000000000000,24.1953720472246,33.6578784762877,275.485381640689,56.3058076728701,27.6306441242158,9.4341120070812,0.0437255265961091
"14",San Juan,Centro poblado rural,423315.0000000000000000000000000000000,8577138.0000000000000000000000000000000,"3",423315.0000000000000000000000000000000,8577138.0000000000000000000000000000000,25.1202035963226,32.3227402138587,258.464699779767,58.7583908417064,28.0144478743558,9.54523870982037,0.0495367080696188
"15",Planchon,Capital distrital,483604.9998999999952502548694610595703,8642596.0000000000000000000000000000000,"2",483604.9998999999952502548694610595703,8642596.0000000000000000000000000000000,57.7369212110837,32.5961308131615,292.479105035464,43.5971022744974,28.4981646190087,12.3760523969928,0.277282284252975
"16",Fray Martin,Centro poblado rural,485325.9998999999952502548694610595703,8670704.0000000000000000000000000000000,"3",485325.9998999999952502548694610595703,8670704.0000000000000000000000000000000,38.0422747539789,47.4751492293634,394.296991094285,54.4737983484492,27.4910822786177,10.0153741811648,0.0412665201687427
"17",Alto Libertad,Centro poblado rural,397443.0000000000000000000000000000000,8573920.0000000000000000000000000000000,"3",397443.0000000000000000000000000000000,8573920.0000000000000000000000000000000,19.0798620712159,41.9637627815508,438.979202874418,77.3714834832264,27.7046419108449,8.71478288343525,0.118135312025476
"18",Union Progreso,Centro poblado rural,410204.5509999999776482582092285156250,8575919.1487000007182359695434570312500,"3",410204.5509999999776482582092285156250,8575919.1487000007182359695434570312500,18.2092564206374,42.7989245364541,474.390947602925,70.0275860937018,27.3289073793512,8.15737147958655,0.0871718541686209
